variable,x,y
bio19,-73.4,0.6725722551345825
bio19,-71.1584,0.6725722551345825
bio19,-68.91680000000001,0.6725722551345825
bio19,-66.6752,0.6725722551345825
bio19,-64.4336,0.6725722551345825
bio19,-62.19200000000001,0.6725722551345825
bio19,-59.9504,0.6725722551345825
bio19,-57.708800000000004,0.6725722551345825
bio19,-55.467200000000005,0.6725722551345825
bio19,-53.2256,0.6725722551345825
bio19,-50.984,0.6725722551345825
bio19,-48.7424,0.6725722551345825
bio19,-46.5008,0.6725722551345825
bio19,-44.25920000000001,0.6725722551345825
bio19,-42.0176,0.6725722551345825
bio19,-39.775999999999996,0.6725722551345825
bio19,-37.5344,0.6725722551345825
bio19,-35.2928,0.6725722551345825
bio19,-33.0512,0.6725722551345825
bio19,-30.809599999999996,0.6725722551345825
bio19,-28.567999999999998,0.6725722551345825
bio19,-26.3264,0.6725722551345825
bio19,-24.084799999999994,0.6725722551345825
bio19,-21.843199999999996,0.6725722551345825
bio19,-19.601599999999998,0.6725722551345825
bio19,-17.36,0.6725722551345825
bio19,-15.118400000000001,0.6725722551345825
bio19,-12.876799999999996,0.6725722551345825
bio19,-10.635199999999998,0.6725722551345825
bio19,-8.393599999999992,0.6725722551345825
bio19,-6.151999999999987,0.6725722551345825
bio19,-3.9103999999999957,0.6725722551345825
bio19,-1.6687999999999903,0.6725722551345825
bio19,0.5728000000000151,0.6725722551345825
bio19,2.8144000000000062,0.6725722551345825
bio19,5.056000000000012,0.6725722551345825
bio19,7.297600000000003,0.6725722551345825
bio19,9.539200000000008,0.6725722551345825
bio19,11.780800000000013,0.6725722551345825
bio19,14.022400000000005,0.6725722551345825
bio19,16.26400000000001,0.6725722551345825
bio19,18.505600000000015,0.6725722551345825
bio19,20.747200000000007,0.6738809943199158
bio19,22.988800000000012,0.6777909994125366
bio19,25.230400000000017,0.6816762685775757
bio19,27.47200000000001,0.6855364441871643
bio19,29.713600000000014,0.6893711090087891
bio19,31.955200000000005,0.6931799650192261
bio19,34.19680000000001,0.6969625949859619
bio19,36.438400000000016,0.699986457824707
bio19,38.68000000000001,0.6999875903129578
bio19,40.92160000000001,0.6999886631965637
bio19,43.1632,0.6999897956848145
bio19,45.40480000000001,0.6999908685684204
bio19,47.646400000000014,0.6999920010566711
bio19,49.888000000000005,0.6999930739402771
bio19,52.12960000000001,0.6999941468238831
bio19,54.371200000000016,0.6999952793121338
bio19,56.61280000000002,0.6999963521957397
bio19,58.85440000000003,0.6999974846839905
bio19,61.09600000000003,0.6999985575675964
bio19,63.33760000000004,0.6999996900558472
bio19,65.57920000000001,0.7000007629394531
bio19,67.82080000000002,0.7000018954277039
bio19,70.06240000000003,0.7000029683113098
bio19,72.30400000000003,0.7000040411949158
bio19,74.54560000000004,0.7000051736831665
bio19,76.78720000000001,0.7000062465667725
bio19,79.02880000000002,0.7000073790550232
bio19,81.27040000000002,0.7000084519386292
bio19,83.51200000000003,0.7000095844268799
bio19,85.75360000000003,0.7000106573104858
bio19,87.99520000000001,0.7000117897987366
bio19,90.23680000000002,0.7000128626823425
bio19,92.47840000000002,0.7000139355659485
bio19,94.72000000000003,0.7000150680541992
bio19,96.96160000000003,0.7000161409378052
bio19,99.20320000000004,0.7000172734260559
bio19,101.44480000000001,0.7000183463096619
