variable,x,y
bio10,51.5,1.0
bio10,51.806,1.0
bio10,52.112,1.0
bio10,52.418,1.0
bio10,52.724,1.0
bio10,53.03,1.0
bio10,53.336,1.0
bio10,53.642,1.0
bio10,53.948,1.0
bio10,54.254,1.0
bio10,54.56,1.0
bio10,54.866,1.0
bio10,55.172,1.0
bio10,55.478,1.0
bio10,55.784,1.0
bio10,56.09,1.0
bio10,56.396,1.0
bio10,56.702,1.0
bio10,57.008,1.0
bio10,57.314,1.0
bio10,57.62,1.0
bio10,57.926,1.0
bio10,58.232,1.0
bio10,58.538,1.0
bio10,58.844,1.0
bio10,59.15,1.0
bio10,59.456,1.0
bio10,59.762,1.0
bio10,60.068,1.0
bio10,60.374,1.0
bio10,60.68,1.0
bio10,60.986000000000004,1.0
bio10,61.292,1.0
bio10,61.598,1.0
bio10,61.903999999999996,1.0
bio10,62.21,1.0
bio10,62.516,1.0
bio10,62.822,1.0
bio10,63.128,1.0
bio10,63.434,1.0
bio10,63.74,1.0
bio10,64.04599999999999,1.0
bio10,64.352,1.0
bio10,64.658,1.0
bio10,64.964,1.0
bio10,65.27,1.0
bio10,65.576,1.0
bio10,65.882,1.0
bio10,66.188,1.0
bio10,66.494,1.0
bio10,66.8,1.0
bio10,67.106,1.0
bio10,67.412,1.0
bio10,67.718,1.0
bio10,68.024,1.0
bio10,68.33,1.0
bio10,68.636,1.0
bio10,68.94200000000001,1.0
bio10,69.248,1.0
bio10,69.554,1.0
bio10,69.86,1.0
bio10,70.166,1.0
bio10,70.47200000000001,1.0
bio10,70.77799999999999,1.0
bio10,71.084,1.0
bio10,71.39,1.0
bio10,71.696,1.0
bio10,72.002,1.0
bio10,72.30799999999999,1.0
bio10,72.614,1.0
bio10,72.92,1.0
bio10,73.226,1.0
bio10,73.532,1.0
bio10,73.838,1.0
bio10,74.144,1.0
bio10,74.45,1.0
bio10,74.756,1.0
bio10,75.062,1.0
bio10,75.368,1.0
bio10,75.674,1.0
bio10,75.98,1.0
bio10,76.286,1.0
bio10,76.592,1.0
bio10,76.898,1.0
bio10,77.20400000000001,1.0
bio10,77.51,1.0
bio10,77.816,1.0
bio10,78.122,1.0
bio10,78.428,1.0
bio10,78.73400000000001,1.0
bio10,79.03999999999999,1.0
bio10,79.346,1.0
bio10,79.652,1.0
bio10,79.958,1.0
bio10,80.264,1.0
bio10,80.57,1.0
bio10,80.876,1.0
bio10,81.182,1.0
bio10,81.488,1.0
bio10,81.794,1.0
bio10,82.1,1.0
bio10,82.406,1.0
bio10,82.712,1.0
bio10,83.018,1.0
bio10,83.324,1.0
bio10,83.63,1.0
bio10,83.936,1.0
bio10,84.24199999999999,1.0
bio10,84.548,1.0
bio10,84.854,1.0
bio10,85.16,1.0
bio10,85.46600000000001,1.0
bio10,85.77199999999999,1.0
bio10,86.078,1.0
bio10,86.384,1.0
bio10,86.69,1.0
bio10,86.99600000000001,1.0
bio10,87.30199999999999,1.0
bio10,87.608,1.0
bio10,87.914,1.0
bio10,88.22,1.0
bio10,88.52600000000001,1.0
bio10,88.832,1.0
bio10,89.138,1.0
bio10,89.444,1.0
bio10,89.75,1.0
bio10,90.056,1.0
bio10,90.362,1.0
bio10,90.668,1.0
bio10,90.97399999999999,1.0
bio10,91.28,1.0
bio10,91.586,1.0
bio10,91.892,1.0
bio10,92.19800000000001,1.0
bio10,92.50399999999999,1.0
bio10,92.81,1.0
bio10,93.116,1.0
bio10,93.422,1.0
bio10,93.72800000000001,1.0
bio10,94.03399999999999,1.0
bio10,94.34,1.0
bio10,94.646,1.0
bio10,94.952,1.0
bio10,95.25800000000001,1.0
bio10,95.564,1.0
bio10,95.87,1.0
