variable,x,y
bio11,-75.4,1.0
bio11,-74.93440000000001,1.0
bio11,-74.4688,1.0
bio11,-74.0032,1.0
bio11,-73.53760000000001,1.0
bio11,-73.072,1.0
bio11,-72.60640000000001,1.0
bio11,-72.1408,1.0
bio11,-71.6752,1.0
bio11,-71.20960000000001,1.0
bio11,-70.744,1.0
bio11,-70.2784,1.0
bio11,-69.81280000000001,1.0
bio11,-69.3472,1.0
bio11,-68.8816,1.0
bio11,-68.41600000000001,1.0
bio11,-67.9504,1.0
bio11,-67.4848,1.0
bio11,-67.01920000000001,1.0
bio11,-66.5536,1.0
bio11,-66.08800000000001,1.0
bio11,-65.6224,1.0
bio11,-65.1568,1.0
bio11,-64.69120000000001,1.0
bio11,-64.2256,1.0
bio11,-63.760000000000005,1.0
bio11,-63.2944,1.0
bio11,-62.8288,1.0
bio11,-62.363200000000006,1.0
bio11,-61.897600000000004,1.0
bio11,-61.432,1.0
bio11,-60.96640000000001,1.0
bio11,-60.500800000000005,1.0
bio11,-60.0352,1.0
bio11,-59.56960000000001,1.0
bio11,-59.104000000000006,1.0
bio11,-58.638400000000004,1.0
bio11,-58.17280000000001,1.0
bio11,-57.70720000000001,1.0
bio11,-57.241600000000005,1.0
bio11,-56.77600000000001,1.0
bio11,-56.3104,1.0
bio11,-55.844800000000006,1.0
bio11,-55.37920000000001,1.0
bio11,-54.9136,1.0
bio11,-54.44800000000001,1.0
bio11,-53.9824,1.0
bio11,-53.5168,1.0
bio11,-53.0512,1.0
bio11,-52.5856,1.0
bio11,-52.120000000000005,1.0
bio11,-51.6544,1.0
bio11,-51.1888,1.0
bio11,-50.723200000000006,1.0
bio11,-50.257600000000004,1.0
bio11,-49.792,1.0
bio11,-49.32640000000001,1.0
bio11,-48.860800000000005,1.0
bio11,-48.3952,1.0
bio11,-47.92960000000001,1.0
bio11,-47.464000000000006,1.0
bio11,-46.998400000000004,1.0
bio11,-46.53280000000001,1.0
bio11,-46.0672,1.0
bio11,-45.601600000000005,1.0
bio11,-45.13600000000001,1.0
bio11,-44.6704,1.0
bio11,-44.204800000000006,1.0
bio11,-43.739200000000004,1.0
bio11,-43.2736,1.0
bio11,-42.80800000000001,1.0
bio11,-42.342400000000005,1.0
bio11,-41.8768,1.0
bio11,-41.4112,1.0
bio11,-40.945600000000006,1.0
bio11,-40.480000000000004,1.0
bio11,-40.01440000000001,1.0
bio11,-39.5488,1.0
bio11,-39.083200000000005,1.0
bio11,-38.6176,1.0
bio11,-38.15200000000001,1.0
bio11,-37.686400000000006,1.0
bio11,-37.220800000000004,1.0
bio11,-36.7552,1.0
bio11,-36.28960000000001,1.0
bio11,-35.824000000000005,1.0
bio11,-35.35840000000001,1.0
bio11,-34.8928,1.0
bio11,-34.427200000000006,1.0
bio11,-33.961600000000004,1.0
bio11,-33.496,1.0
bio11,-33.03040000000001,1.0
bio11,-32.5648,1.0
bio11,-32.0992,1.0
bio11,-31.6336,1.0
bio11,-31.168000000000006,1.0
bio11,-30.702399999999997,1.0
bio11,-30.236800000000002,1.0
bio11,-29.7712,1.0
bio11,-29.305600000000005,1.0
bio11,-28.840000000000003,1.0
bio11,-28.3744,1.0
bio11,-27.9088,1.0
bio11,-27.443200000000004,1.0
bio11,-26.977600000000002,1.0
bio11,-26.512000000000008,1.0
bio11,-26.0464,1.0
bio11,-25.580800000000004,1.0
bio11,-25.1152,1.0
bio11,-24.649600000000007,1.0
bio11,-24.184000000000005,1.0
bio11,-23.718400000000003,1.0
bio11,-23.2528,1.0
bio11,-22.787200000000006,1.0
bio11,-22.321600000000004,1.0
bio11,-21.85600000000001,1.0
bio11,-21.3904,1.0
bio11,-20.924800000000005,1.0
bio11,-20.459200000000003,1.0
bio11,-19.9936,1.0
