variable,x,y
bio18,-6.199999999999999,1.0
bio18,-6.1015999999999995,1.0
bio18,-6.0032,1.0
bio18,-5.904799999999999,1.0
bio18,-5.806399999999999,1.0
bio18,-5.707999999999999,1.0
bio18,-5.6095999999999995,1.0
bio18,-5.511199999999999,1.0
bio18,-5.412799999999999,1.0
bio18,-5.314399999999999,1.0
bio18,-5.215999999999999,1.0
bio18,-5.1175999999999995,1.0
bio18,-5.0192,1.0
bio18,-4.920799999999999,1.0
bio18,-4.822399999999999,1.0
bio18,-4.723999999999999,1.0
bio18,-4.6255999999999995,1.0
bio18,-4.527199999999999,1.0
bio18,-4.428799999999999,1.0
bio18,-4.330399999999999,1.0
bio18,-4.231999999999999,1.0
bio18,-4.1335999999999995,1.0
bio18,-4.0352,1.0
bio18,-3.936799999999999,1.0
bio18,-3.838399999999999,1.0
bio18,-3.7399999999999993,1.0
bio18,-3.641599999999999,1.0
bio18,-3.5431999999999992,1.0
bio18,-3.444799999999999,1.0
bio18,-3.3463999999999987,1.0
bio18,-3.2479999999999993,1.0
bio18,-3.149599999999999,1.0
bio18,-3.0511999999999992,1.0
bio18,-2.952799999999999,1.0
bio18,-2.8543999999999987,1.0
bio18,-2.7559999999999993,1.0
bio18,-2.657599999999999,1.0
bio18,-2.5591999999999993,1.0
bio18,-2.460799999999999,1.0
bio18,-2.3623999999999987,1.0
bio18,-2.2639999999999993,1.0
bio18,-2.1655999999999995,1.0
bio18,-2.067199999999999,1.0
bio18,-1.9687999999999999,1.0
bio18,-1.8703999999999992,1.0
bio18,-1.7719999999999994,1.0
bio18,-1.6735999999999986,1.0
bio18,-1.5751999999999988,1.0
bio18,-1.476799999999999,1.0
bio18,-1.3783999999999992,1.0
bio18,-1.2799999999999994,1.0
bio18,-1.1815999999999987,1.0
bio18,-1.0831999999999988,1.0
bio18,-0.9847999999999981,1.0
bio18,-0.8863999999999992,1.0
bio18,-0.7879999999999994,1.0
bio18,-0.6895999999999987,1.0
bio18,-0.5911999999999988,1.0
bio18,-0.49279999999999813,1.0
bio18,-0.3943999999999992,1.0
bio18,-0.2959999999999994,1.0
bio18,-0.19759999999999867,1.0
bio18,-0.09919999999999884,1.0
bio18,-7.999999999981355E-4,1.0
bio18,0.0976000000000008,1.0
bio18,0.19600000000000062,1.0
bio18,0.2944000000000013,1.0
bio18,0.39280000000000115,1.0
bio18,0.49120000000000186,1.0
bio18,0.5896000000000008,1.0
bio18,0.6880000000000006,1.0
bio18,0.7864000000000013,1.0
bio18,0.8848000000000011,1.0
bio18,0.9832000000000019,1.0
bio18,1.0816000000000008,1.0
bio18,1.1800000000000006,1.0
bio18,1.2784000000000013,1.0
bio18,1.3768000000000011,1.0
bio18,1.4752000000000018,1.0
bio18,1.5736000000000008,1.0
bio18,1.6720000000000006,1.0
bio18,1.7704000000000013,1.0
bio18,1.8688000000000002,1.0
bio18,1.9672000000000018,1.0
bio18,2.0656000000000017,1.0
bio18,2.1640000000000015,1.0
bio18,2.2623999999999995,1.0
bio18,2.360800000000001,1.0
bio18,2.459200000000001,1.0
bio18,2.5576000000000008,1.0
bio18,2.6560000000000006,1.0
bio18,2.7544000000000004,1.0
bio18,2.852800000000002,1.0
bio18,2.951200000000002,1.0
bio18,3.0496000000000016,1.0
bio18,3.1480000000000015,1.0
bio18,3.2464000000000013,1.0
bio18,3.344800000000001,1.0
bio18,3.443200000000001,1.0
bio18,3.5416000000000007,1.0
bio18,3.6400000000000006,1.0
bio18,3.738400000000002,1.0
bio18,3.836800000000002,1.0
bio18,3.935200000000002,1.0
bio18,4.033600000000002,1.0
bio18,4.1320000000000014,1.0
bio18,4.230400000000003,1.0
bio18,4.328800000000001,1.0
bio18,4.427200000000001,1.0
bio18,4.525600000000001,1.0
bio18,4.6240000000000006,1.0
bio18,4.722400000000002,1.0
bio18,4.820800000000002,1.0
bio18,4.919200000000002,1.0
bio18,5.017600000000002,1.0
bio18,5.116000000000001,1.0
bio18,5.214400000000003,1.0
bio18,5.312800000000001,1.0
bio18,5.411200000000001,1.0
bio18,5.509600000000001,1.0
bio18,5.6080000000000005,1.0
bio18,5.706400000000002,1.0
bio18,5.804800000000002,1.0
bio18,5.903200000000002,1.0
bio18,6.001600000000002,1.0
bio18,6.100000000000001,1.0
bio18,6.198400000000003,1.0
bio18,6.296800000000001,1.0
bio18,6.395200000000001,1.0
bio18,6.493600000000001,1.0
bio18,6.5920000000000005,1.0
bio18,6.690400000000002,1.0
bio18,6.788800000000002,1.0
bio18,6.887200000000002,1.0
bio18,6.985600000000002,1.0
bio18,7.084000000000001,1.0
bio18,7.182400000000003,1.0
bio18,7.280800000000001,1.0
bio18,7.379200000000001,1.0
bio18,7.477600000000001,1.0
bio18,7.5760000000000005,1.0
bio18,7.674400000000002,1.0
bio18,7.772800000000002,1.0
bio18,7.871200000000002,1.0
bio18,7.969600000000002,1.0
bio18,8.068000000000001,1.0
bio18,8.166400000000003,1.0
bio18,8.264800000000001,1.0
bio18,8.3632,1.0
bio18,8.4616,1.0
bio18,8.56,1.0
bio18,8.658400000000002,1.0
bio18,8.756800000000002,1.0
bio18,8.855200000000002,1.0
bio18,8.953600000000002,1.0
bio18,9.052000000000001,1.0
bio18,9.150400000000003,1.0
bio18,9.248800000000001,1.0
bio18,9.3472,1.0
bio18,9.4456,1.0
bio18,9.544,1.0
bio18,9.642400000000002,1.0
bio18,9.740800000000002,1.0
bio18,9.839200000000002,1.0
bio18,9.9376,1.0
bio18,10.036000000000001,1.0
bio18,10.134400000000003,1.0
bio18,10.232800000000001,1.0
bio18,10.331200000000003,1.0
bio18,10.429600000000004,1.0
bio18,10.528000000000002,1.0
bio18,10.626400000000004,1.0
bio18,10.724799999999998,1.0
bio18,10.8232,1.0
bio18,10.921600000000002,1.0
bio18,11.02,1.0
bio18,11.118400000000001,1.0
bio18,11.2168,1.0
bio18,11.3152,1.0
bio18,11.413600000000002,1.0
bio18,11.512,1.0
bio18,11.610400000000002,1.0
bio18,11.7088,1.0
bio18,11.807200000000002,1.0
bio18,11.905600000000003,1.0
bio18,12.004000000000001,1.0
bio18,12.102400000000003,1.0
bio18,12.200800000000001,1.0
bio18,12.299200000000003,1.0
bio18,12.397600000000004,1.0
bio18,12.496000000000002,1.0
bio18,12.594400000000004,1.0
bio18,12.692800000000002,1.0
bio18,12.7912,1.0
bio18,12.889600000000002,1.0
bio18,12.988,1.0
bio18,13.086400000000001,1.0
bio18,13.184800000000003,1.0
bio18,13.2832,1.0
bio18,13.381600000000002,1.0
bio18,13.48,1.0
bio18,13.578400000000002,1.0
bio18,13.676800000000004,1.0
bio18,13.775200000000002,1.0
bio18,13.873600000000003,1.0
bio18,13.972000000000001,1.0
bio18,14.070400000000003,1.0
bio18,14.168800000000005,1.0
bio18,14.267200000000003,1.0
bio18,14.365600000000004,1.0
bio18,14.464000000000002,1.0
bio18,14.562400000000004,1.0
bio18,14.660800000000005,1.0
bio18,14.7592,1.0
bio18,14.857600000000001,1.0
bio18,14.956,1.0
bio18,15.054400000000001,1.0
bio18,15.152800000000003,1.0
bio18,15.2512,1.0
bio18,15.349600000000002,1.0
bio18,15.448,1.0
bio18,15.546400000000002,1.0
bio18,15.644800000000004,1.0
bio18,15.743200000000002,1.0
bio18,15.841600000000003,1.0
bio18,15.940000000000001,1.0
bio18,16.038400000000003,1.0
bio18,16.136800000000004,1.0
bio18,16.235200000000003,1.0
bio18,16.333600000000004,1.0
bio18,16.432000000000002,1.0
bio18,16.530400000000004,1.0
bio18,16.628800000000005,1.0
bio18,16.7272,1.0
bio18,16.8256,1.0
bio18,16.924,1.0
bio18,17.0224,1.0
bio18,17.120800000000003,1.0
bio18,17.2192,1.0
bio18,17.317600000000002,1.0
bio18,17.416,1.0
bio18,17.514400000000002,1.0
bio18,17.612800000000004,1.0
bio18,17.7112,1.0
bio18,17.809600000000003,1.0
bio18,17.908,1.0
bio18,18.006400000000003,1.0
bio18,18.104800000000004,1.0
bio18,18.203200000000002,1.0
bio18,18.301600000000004,1.0
bio18,18.400000000000002,1.0
bio18,18.498400000000004,1.0
bio18,18.596800000000005,1.0
bio18,18.6952,1.0
bio18,18.7936,1.0
bio18,18.892,1.0
bio18,18.9904,1.0
bio18,19.088800000000003,1.0
bio18,19.1872,1.0
bio18,19.285600000000002,1.0
bio18,19.384,1.0
bio18,19.482400000000002,1.0
bio18,19.580800000000004,1.0
bio18,19.6792,1.0
bio18,19.777600000000003,1.0
bio18,19.876,1.0
bio18,19.974400000000003,1.0
bio18,20.072800000000004,1.0
bio18,20.171200000000002,1.0
bio18,20.269600000000004,1.0
bio18,20.368000000000002,1.0
bio18,20.466400000000004,1.0
bio18,20.564800000000005,1.0
bio18,20.6632,1.0
bio18,20.7616,1.0
bio18,20.86,1.0
bio18,20.9584,1.0
bio18,21.056800000000003,1.0
bio18,21.1552,1.0
bio18,21.253600000000002,1.0
bio18,21.352,1.0
bio18,21.450400000000002,1.0
bio18,21.548800000000004,1.0
bio18,21.6472,1.0
bio18,21.745600000000003,1.0
bio18,21.844,1.0
bio18,21.942400000000003,1.0
bio18,22.040800000000004,1.0
bio18,22.139200000000002,1.0
bio18,22.237600000000004,1.0
bio18,22.336000000000002,1.0
bio18,22.434400000000004,1.0
bio18,22.532800000000005,1.0
bio18,22.6312,1.0
bio18,22.7296,1.0
bio18,22.828,1.0
bio18,22.9264,1.0
bio18,23.024800000000003,1.0
bio18,23.1232,1.0
bio18,23.221600000000002,1.0
bio18,23.32,1.0
bio18,23.418400000000002,1.0
bio18,23.516800000000003,1.0
bio18,23.6152,1.0
bio18,23.713600000000003,1.0
bio18,23.812,1.0
bio18,23.910400000000003,1.0
bio18,24.008800000000004,1.0
bio18,24.107200000000002,1.0
bio18,24.205600000000004,1.0
bio18,24.304000000000002,1.0
bio18,24.402400000000004,1.0
bio18,24.500800000000005,1.0
bio18,24.5992,1.0
bio18,24.6976,1.0
bio18,24.796,1.0
bio18,24.8944,1.0
bio18,24.992800000000003,1.0
bio18,25.0912,1.0
bio18,25.189600000000002,1.0
bio18,25.288,1.0
bio18,25.386400000000002,1.0
bio18,25.484800000000003,1.0
bio18,25.5832,1.0
bio18,25.681600000000003,1.0
bio18,25.780000000000005,1.0
bio18,25.878400000000003,1.0
bio18,25.9768,1.0
bio18,26.0752,1.0
bio18,26.173600000000004,1.0
bio18,26.272000000000002,1.0
bio18,26.3704,1.0
bio18,26.468800000000005,1.0
bio18,26.567200000000003,1.0
bio18,26.6656,1.0
bio18,26.764,1.0
bio18,26.862400000000004,1.0
bio18,26.960800000000003,1.0
bio18,27.059200000000008,1.0
bio18,27.1576,1.0
bio18,27.256000000000004,1.0
bio18,27.354400000000002,1.0
bio18,27.452800000000007,1.0
bio18,27.551200000000005,1.0
bio18,27.649599999999996,1.0
bio18,27.748,1.0
bio18,27.8464,1.0
bio18,27.944800000000004,1.0
bio18,28.043200000000002,1.0
bio18,28.1416,1.0
bio18,28.24,1.0
bio18,28.338400000000004,1.0
bio18,28.4368,1.0
bio18,28.535200000000007,1.0
bio18,28.633599999999998,1.0
bio18,28.732000000000003,1.0
bio18,28.8304,1.0
bio18,28.928800000000006,1.0
bio18,29.027200000000004,1.0
bio18,29.125600000000002,1.0
bio18,29.224,1.0
bio18,29.322400000000005,1.0
bio18,29.420800000000003,1.0
bio18,29.51920000000001,1.0
bio18,29.6176,1.0
bio18,29.715999999999998,1.0
bio18,29.814400000000003,1.0
bio18,29.9128,1.0
bio18,30.011200000000006,1.0
bio18,30.109599999999997,1.0
bio18,30.208000000000002,1.0
bio18,30.3064,1.0
bio18,30.404800000000005,1.0
bio18,30.503200000000003,1.0
bio18,30.6016,1.0
bio18,30.7,1.0
bio18,30.798400000000004,1.0
bio18,30.896800000000002,1.0
bio18,30.995200000000008,1.0
bio18,31.0936,1.0
bio18,31.192000000000004,1.0
bio18,31.2904,1.0
bio18,31.388800000000007,1.0
bio18,31.487200000000005,1.0
bio18,31.585600000000003,1.0
bio18,31.684,1.0
bio18,31.7824,1.0
bio18,31.880800000000004,1.0
bio18,31.979200000000002,1.0
bio18,32.077600000000004,1.0
bio18,32.176,1.0
bio18,32.2744,1.0
bio18,32.3728,1.0
bio18,32.47120000000001,1.0
bio18,32.56960000000001,1.0
bio18,32.668000000000006,1.0
bio18,32.766400000000004,1.0
bio18,32.8648,1.0
bio18,32.9632,1.0
bio18,33.06160000000001,1.0
bio18,33.16,1.0
bio18,33.25840000000001,1.0
bio18,33.35680000000001,1.0
bio18,33.455200000000005,1.0
bio18,33.5536,1.0
bio18,33.652,1.0
bio18,33.7504,1.0
bio18,33.8488,1.0
bio18,33.94720000000001,1.0
bio18,34.04560000000001,1.0
bio18,34.144000000000005,1.0
bio18,34.2424,1.0
bio18,34.3408,1.0
bio18,34.4392,1.0
bio18,34.53760000000001,1.0
bio18,34.635999999999996,1.0
bio18,34.73440000000001,1.0
bio18,34.832800000000006,1.0
bio18,34.931200000000004,1.0
bio18,35.0296,1.0
bio18,35.128,1.0
bio18,35.2264,1.0
bio18,35.32480000000001,1.0
bio18,35.42320000000001,1.0
bio18,35.52160000000001,1.0
bio18,35.620000000000005,1.0
bio18,35.7184,1.0
bio18,35.8168,1.0
bio18,35.9152,1.0
bio18,36.01360000000001,1.0
bio18,36.111999999999995,1.0
bio18,36.21040000000001,1.0
bio18,36.308800000000005,1.0
bio18,36.4072,1.0
bio18,36.5056,1.0
bio18,36.604,1.0
bio18,36.7024,1.0
bio18,36.80080000000001,1.0
bio18,36.89920000000001,1.0
bio18,36.997600000000006,1.0
bio18,37.096000000000004,1.0
bio18,37.1944,1.0
bio18,37.2928,1.0
bio18,37.39120000000001,1.0
bio18,37.48960000000001,1.0
bio18,37.587999999999994,1.0
bio18,37.686400000000006,1.0
bio18,37.784800000000004,1.0
bio18,37.8832,1.0
bio18,37.9816,1.0
bio18,38.08,1.0
bio18,38.178399999999996,1.0
bio18,38.27680000000001,1.0
bio18,38.37520000000001,1.0
bio18,38.473600000000005,1.0
bio18,38.572,1.0
bio18,38.6704,1.0
bio18,38.7688,1.0
bio18,38.86720000000001,1.0
bio18,38.96560000000001,1.0
bio18,39.06400000000001,1.0
bio18,39.162400000000005,1.0
bio18,39.2608,1.0
bio18,39.3592,1.0
bio18,39.45760000000001,1.0
bio18,39.556,1.0
bio18,39.654399999999995,1.0
bio18,39.75280000000001,1.0
bio18,39.851200000000006,1.0
bio18,39.949600000000004,1.0
bio18,40.048,1.0
bio18,40.1464,1.0
bio18,40.2448,1.0
bio18,40.34320000000001,1.0
bio18,40.44160000000001,1.0
bio18,40.540000000000006,1.0
bio18,40.638400000000004,1.0
bio18,40.7368,1.0
bio18,40.8352,1.0
bio18,40.93360000000001,1.0
bio18,41.032,1.0
bio18,41.13040000000001,1.0
bio18,41.22880000000001,1.0
bio18,41.327200000000005,1.0
bio18,41.4256,1.0
bio18,41.524,1.0
bio18,41.6224,1.0
bio18,41.7208,1.0
bio18,41.81920000000001,1.0
bio18,41.91760000000001,1.0
bio18,42.016000000000005,1.0
bio18,42.1144,1.0
bio18,42.2128,1.0
bio18,42.3112,1.0
bio18,42.40960000000001,1.0
bio18,42.507999999999996,1.0
bio18,42.60640000000001,1.0
bio18,42.704800000000006,1.0
bio18,42.803200000000004,1.0
bio18,42.9016,1.0
bio18,43.0,1.0
bio18,43.0984,1.0
bio18,43.19680000000001,1.0
bio18,43.29520000000001,1.0
bio18,43.393600000000006,1.0
bio18,43.492000000000004,1.0
bio18,43.5904,1.0
bio18,43.6888,1.0
bio18,43.7872,1.0
bio18,43.88560000000001,1.0
bio18,43.983999999999995,1.0
bio18,44.08240000000001,1.0
bio18,44.180800000000005,1.0
bio18,44.2792,1.0
bio18,44.3776,1.0
bio18,44.476,1.0
bio18,44.5744,1.0
bio18,44.67280000000001,1.0
bio18,44.77120000000001,1.0
bio18,44.869600000000005,1.0
bio18,44.968,1.0
bio18,45.0664,1.0
bio18,45.1648,1.0
bio18,45.26320000000001,1.0
bio18,45.36160000000001,1.0
bio18,45.459999999999994,1.0
bio18,45.558400000000006,1.0
bio18,45.656800000000004,1.0
bio18,45.7552,1.0
bio18,45.8536,1.0
bio18,45.952,1.0
bio18,46.050399999999996,1.0
bio18,46.14880000000001,1.0
bio18,46.24720000000001,1.0
bio18,46.345600000000005,1.0
bio18,46.444,1.0
bio18,46.5424,1.0
bio18,46.6408,1.0
bio18,46.73920000000001,1.0
bio18,46.83760000000001,1.0
bio18,46.93600000000001,1.0
bio18,47.034400000000005,1.0
bio18,47.1328,1.0
bio18,47.2312,1.0
bio18,47.32960000000001,1.0
bio18,47.428,1.0
bio18,47.526399999999995,1.0
bio18,47.62480000000001,1.0
bio18,47.723200000000006,1.0
bio18,47.821600000000004,1.0
bio18,47.92,1.0
bio18,48.0184,1.0
bio18,48.1168,1.0
bio18,48.21520000000001,1.0
bio18,48.31360000000001,1.0
bio18,48.412000000000006,1.0
bio18,48.510400000000004,1.0
bio18,48.6088,1.0
bio18,48.7072,1.0
bio18,48.80560000000001,1.0
bio18,48.903999999999996,1.0
bio18,49.00240000000001,1.0
bio18,49.10080000000001,1.0
bio18,49.199200000000005,1.0
bio18,49.2976,1.0
bio18,49.396,1.0
bio18,49.4944,1.0
bio18,49.5928,1.0
bio18,49.69120000000001,1.0
bio18,49.78960000000001,1.0
bio18,49.888000000000005,1.0
bio18,49.9864,1.0
bio18,50.0848,1.0
bio18,50.1832,1.0
bio18,50.28160000000001,1.0
bio18,50.379999999999995,1.0
bio18,50.47840000000001,1.0
bio18,50.576800000000006,1.0
bio18,50.675200000000004,1.0
bio18,50.7736,1.0
bio18,50.872,1.0
bio18,50.9704,1.0
bio18,51.06880000000001,1.0
bio18,51.16720000000001,1.0
bio18,51.265600000000006,1.0
bio18,51.364000000000004,1.0
bio18,51.4624,1.0
bio18,51.5608,1.0
bio18,51.6592,1.0
bio18,51.75760000000001,1.0
bio18,51.855999999999995,1.0
bio18,51.95440000000001,1.0
bio18,52.052800000000005,1.0
bio18,52.1512,1.0
bio18,52.2496,1.0
bio18,52.348,1.0
bio18,52.4464,1.0
bio18,52.54480000000001,1.0
bio18,52.64320000000001,1.0
bio18,52.741600000000005,1.0
bio18,52.84,1.0
bio18,52.9384,1.0
bio18,53.0368,1.0
bio18,53.13520000000001,1.0
bio18,53.23360000000001,1.0
bio18,53.331999999999994,1.0
bio18,53.430400000000006,1.0
bio18,53.528800000000004,1.0
bio18,53.6272,1.0
bio18,53.7256,1.0
bio18,53.824,1.0
bio18,53.922399999999996,1.0
bio18,54.02080000000001,1.0
bio18,54.119200000000006,1.0
bio18,54.217600000000004,1.0
bio18,54.316,1.0
bio18,54.4144,1.0
bio18,54.5128,1.0
bio18,54.61120000000001,1.0
bio18,54.70960000000001,1.0
bio18,54.80800000000001,1.0
bio18,54.906400000000005,1.0
bio18,55.0048,1.0
bio18,55.1032,1.0
bio18,55.20160000000001,1.0
bio18,55.3,1.0
bio18,55.398399999999995,1.0
bio18,55.49680000000001,1.0
bio18,55.595200000000006,1.0
bio18,55.6936,1.0
bio18,55.792,1.0
bio18,55.8904,1.0
bio18,55.9888,1.0
bio18,56.08720000000001,1.0
bio18,56.18560000000001,1.0
bio18,56.284000000000006,1.0
bio18,56.382400000000004,1.0
bio18,56.4808,1.0
bio18,56.5792,1.0
bio18,56.67760000000001,1.0
bio18,56.775999999999996,1.0
bio18,56.87440000000001,1.0
bio18,56.97280000000001,1.0
bio18,57.071200000000005,1.0
bio18,57.1696,1.0
bio18,57.268000000000015,1.0
bio18,57.3664,1.0
bio18,57.4648,1.0
bio18,57.56320000000001,1.0
bio18,57.66160000000001,1.0
bio18,57.760000000000005,1.0
bio18,57.8584,1.0
bio18,57.9568,1.0
bio18,58.0552,1.0
bio18,58.1536,1.0
bio18,58.25200000000001,1.0
bio18,58.35039999999999,1.0
bio18,58.448800000000006,1.0
bio18,58.547200000000004,1.0
bio18,58.6456,1.0
bio18,58.744,1.0
bio18,58.8424,1.0
bio18,58.940799999999996,1.0
bio18,59.03920000000001,1.0
bio18,59.137600000000006,1.0
bio18,59.236000000000004,1.0
bio18,59.3344,1.0
bio18,59.4328,1.0
bio18,59.5312,1.0
bio18,59.629599999999996,1.0
bio18,59.727999999999994,1.0
bio18,59.82640000000001,1.0
bio18,59.924800000000005,1.0
bio18,60.02319999999999,1.0
bio18,60.1216,1.0
bio18,60.22,1.0
bio18,60.31840000000001,1.0
bio18,60.416799999999995,1.0
bio18,60.51519999999999,1.0
bio18,60.613600000000005,1.0
bio18,60.712,1.0
bio18,60.8104,1.0
bio18,60.9088,1.0
bio18,61.0072,1.0
bio18,61.10560000000001,1.0
bio18,61.20399999999999,1.0
bio18,61.302400000000006,1.0
bio18,61.400800000000004,1.0
bio18,61.49919999999999,1.0
bio18,61.5976,1.0
bio18,61.696,1.0
bio18,61.79440000000001,1.0
bio18,61.892799999999994,1.0
bio18,61.99119999999999,1.0
bio18,62.089600000000004,1.0
bio18,62.188,1.0
bio18,62.2864,1.0
bio18,62.3848,1.0
bio18,62.4832,1.0
bio18,62.58160000000001,1.0
bio18,62.67999999999999,1.0
bio18,62.778400000000005,1.0
bio18,62.8768,1.0
bio18,62.9752,1.0
bio18,63.0736,1.0
bio18,63.172,1.0
bio18,63.27040000000001,1.0
bio18,63.36879999999999,1.0
bio18,63.46719999999999,1.0
bio18,63.5656,1.0
bio18,63.664,1.0
bio18,63.7624,1.0
bio18,63.8608,1.0
bio18,63.959199999999996,1.0
bio18,64.05760000000001,1.0
bio18,64.15599999999999,1.0
bio18,64.2544,1.0
bio18,64.3528,1.0
bio18,64.4512,1.0
bio18,64.5496,1.0
bio18,64.648,1.0
bio18,64.74640000000001,1.0
bio18,64.8448,1.0
bio18,64.94319999999999,1.0
bio18,65.0416,1.0
bio18,65.14,1.0
bio18,65.23840000000001,1.0
bio18,65.3368,1.0
bio18,65.4352,1.0
bio18,65.5336,1.0
bio18,65.63199999999999,1.0
bio18,65.7304,1.0
bio18,65.8288,1.0
bio18,65.9272,1.0
bio18,66.0256,1.0
bio18,66.124,1.0
bio18,66.22240000000001,1.0
bio18,66.3208,1.0
bio18,66.41919999999999,1.0
bio18,66.5176,1.0
bio18,66.616,1.0
bio18,66.71440000000001,1.0
bio18,66.8128,1.0
bio18,66.9112,1.0
bio18,67.0096,1.0
bio18,67.108,1.0
bio18,67.2064,1.0
bio18,67.3048,1.0
bio18,67.4032,1.0
bio18,67.5016,1.0
bio18,67.6,1.0
bio18,67.6984,1.0
bio18,67.7968,1.0
bio18,67.89519999999999,1.0
