56590,Humboldt-Toiyabe National Forest,1993,257,4,Campfire,0.1,38.48333333,-119.7333333,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0xac,0x5a,0xeb,0xee,0xee,0xee,0x5d,0xc0,0x60,0xb5,0xd6,0xdd,0xdd,0x3d,0x43,0x40,0xac,0x5a,0xeb,0xee,0xee,0xee,0x5d,0xc0,0x60,0xb5,0xd6,0xdd,0xdd,0x3d,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0xac,0x5a,0xeb,0xee,0xee,0xee,0x5d,0xc0,0x60,0xb5,0xd6,0xdd,0xdd,0x3d,0x43,0x40,0xfe)),39,135,44,6055,213,-91,304,-17,120,121,-28,873,146,15,67,403,57,63,400
56591,Humboldt-Toiyabe National Forest,1993,278,1,Lightning,0.1,38.685,-119.8183333,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0xe8,0x64,0xc2,0x92,0x5f,0xf4,0x5d,0xc0,0x50,0xe1,0x7a,0x14,0xae,0x57,0x43,0x40,0xe8,0x64,0xc2,0x92,0x5f,0xf4,0x5d,0xc0,0x50,0xe1,0x7a,0x14,0xae,0x57,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0xe8,0x64,0xc2,0x92,0x5f,0xf4,0x5d,0xc0,0x50,0xe1,0x7a,0x14,0xae,0x57,0x43,0x40,0xfe)),80,158,45,6702,279,-71,350,9,170,170,0,529,88,12,62,240,44,44,240
56592,Humboldt-Toiyabe National Forest,1993,278,1,Lightning,0.1,38.75,-119.7983333,STATE OR PRIVATE,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0x08,0xea,0xad,0xe4,0x17,0xf3,0x5d,0xc0,0x08,0x00,0x00,0x00,0x00,0x60,0x43,0x40,0x08,0xea,0xad,0xe4,0x17,0xf3,0x5d,0xc0,0x08,0x00,0x00,0x00,0x00,0x60,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0x08,0xea,0xad,0xe4,0x17,0xf3,0x5d,0xc0,0x08,0x00,0x00,0x00,0x00,0x60,0x43,0x40,0xfe)),80,158,45,6702,279,-71,350,9,170,170,0,529,88,12,62,240,44,44,240
56594,Humboldt-Toiyabe National Forest,1993,278,1,Lightning,0.1,38.78333333,-119.8533333,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0xf0,0x3b,0x66,0x03,0x9d,0xf6,0x5d,0xc0,0xc8,0x1b,0x3d,0x44,0x44,0x64,0x43,0x40,0xf0,0x3b,0x66,0x03,0x9d,0xf6,0x5d,0xc0,0xc8,0x1b,0x3d,0x44,0x44,0x64,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0xf0,0x3b,0x66,0x03,0x9d,0xf6,0x5d,0xc0,0xc8,0x1b,0x3d,0x44,0x44,0x64,0x43,0x40,0xfe)),42,134,43,6155,217,-89,306,-16,124,125,-27,974,162,15,67,452,61,65,445
56595,Humboldt-Toiyabe National Forest,1993,279,1,Lightning,0.1,38.50666667,-119.6016667,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0x90,0xaf,0xeb,0xb4,0x81,0xe6,0x5d,0xc0,0xd0,0xcf,0x14,0x74,0xda,0x40,0x43,0x40,0x90,0xaf,0xeb,0xb4,0x81,0xe6,0x5d,0xc0,0xd0,0xcf,0x14,0x74,0xda,0x40,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0x90,0xaf,0xeb,0xb4,0x81,0xe6,0x5d,0xc0,0xd0,0xcf,0x14,0x74,0xda,0x40,0x43,0x40,0xfe)),64,155,44,6605,259,-86,345,-14,153,153,-14,533,87,13,59,236,48,48,236
56596,Humboldt-Toiyabe National Forest,1993,280,1,Lightning,0.5,39.69,-120.1016667,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0x90,0xaf,0xeb,0xb4,0x81,0x06,0x5e,0xc0,0xc0,0x1e,0x85,0xeb,0x51,0xd8,0x43,0x40,0x90,0xaf,0xeb,0xb4,0x81,0x06,0x5e,0xc0,0xc0,0x1e,0x85,0xeb,0x51,0xd8,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0x90,0xaf,0xeb,0xb4,0x81,0x06,0x5e,0xc0,0xc0,0x1e,0x85,0xeb,0x51,0xd8,0x43,0x40,0xfe)),76,170,45,6953,290,-87,377,-9,166,168,-9,393,65,10,55,168,37,38,168
56597,Humboldt-Toiyabe National Forest,1993,281,2,Equipment Use,0.1,38.68,-119.97,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0xac,0x47,0xe1,0x7a,0x14,0xfe,0x5d,0xc0,0xe0,0xa3,0x70,0x3d,0x0a,0x57,0x43,0x40,0xac,0x47,0xe1,0x7a,0x14,0xfe,0x5d,0xc0,0xe0,0xa3,0x70,0x3d,0x0a,0x57,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0xac,0x47,0xe1,0x7a,0x14,0xfe,0x5d,0xc0,0xe0,0xa3,0x70,0x3d,0x0a,0x57,0x43,0x40,0xfe)),42,134,43,6155,217,-89,306,-16,124,125,-27,974,162,15,67,452,61,65,445
56598,Humboldt-Toiyabe National Forest,1993,281,4,Campfire,0.1,38.725,-119.9016667,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0xc0,0xe2,0x1e,0xe8,0xb4,0xf9,0x5d,0xc0,0xd8,0xcc,0xcc,0xcc,0xcc,0x5c,0x43,0x40,0xc0,0xe2,0x1e,0xe8,0xb4,0xf9,0x5d,0xc0,0xd8,0xcc,0xcc,0xcc,0xcc,0x5c,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0xc0,0xe2,0x1e,0xe8,0xb4,0xf9,0x5d,0xc0,0xd8,0xcc,0xcc,0xcc,0xcc,0x5c,0x43,0x40,0xfe)),42,134,43,6155,217,-89,306,-16,124,125,-27,974,162,15,67,452,61,65,445
56601,Humboldt-Toiyabe National Forest,1993,324,5,Debris Burning,2,39.63333333,-120.065,STATE OR PRIVATE,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0x58,0x8f,0xc2,0xf5,0x28,0x04,0x5e,0xc0,0x90,0xe8,0x09,0x11,0x11,0xd1,0x43,0x40,0x58,0x8f,0xc2,0xf5,0x28,0x04,0x5e,0xc0,0x90,0xe8,0x09,0x11,0x11,0xd1,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0x58,0x8f,0xc2,0xf5,0x28,0x04,0x5e,0xc0,0x90,0xe8,0x09,0x11,0x11,0xd1,0x43,0x40,0xfe)),59,164,45,6734,266,-98,364,-22,148,148,-22,586,97,12,61,261,47,47,261
56602,Humboldt-Toiyabe National Forest,1993,152,9,Miscellaneous,0.1,38.34833333,-119.5333333,USFS,as.raw(c(0x00,0x01,0xad,0x10,0x00,0x00,0xdc,0x8d,0x1e,0x22,0x22,0xe2,0x5d,0xc0,0x80,0x3a,0xc2,0x2f,0x96,0x2c,0x43,0x40,0xdc,0x8d,0x1e,0x22,0x22,0xe2,0x5d,0xc0,0x80,0x3a,0xc2,0x2f,0x96,0x2c,0x43,0x40,0x7c,0x01,0x00,0x00,0x00,0xdc,0x8d,0x1e,0x22,0x22,0xe2,0x5d,0xc0,0x80,0x3a,0xc2,0x2f,0x96,0x2c,0x43,0x40,0xfe)),28,134,44,5993,201,-101,302,-27,108,108,-39,776,127,18,62,350,63,68,346
